프로젝트,분류,업무명,상세
다픽웹,기획,비교함 기본 방향 결정,상품을 여러 개 담아 월 요금을 나란히 놓고 고르는 기능을 만들기로 정함. 비교의 핵심 값은 월 요금 하나로 못박음
다픽웹,기획,카테고리별 비교 원칙,"인터넷·TV는 인터넷·TV끼리, 정수기는 정수기끼리, 렌탈은 렌탈끼리만 비교하도록 규칙을 정함"
다픽웹,개발,비교함 보관함 만들기,"담은 상품을 브라우저에 저장하는 보관함을 만들고, 카테고리 세 개를 각각 다른 칸에 나눠 담게 함"
다픽웹,개발,같은 상품 다른 조건 구분,"같은 정수기라도 3년 약정과 6년 약정은 다른 항목으로 세도록, 상품과 조건을 묶어 하나의 이름표로 저장"
다픽웹,개발,담을 수 있는 개수 제한,"한 카테고리에 최대 3개까지만 담기도록 제한을 걸고, 넘으면 이유를 알려주게 함"
다픽웹,수정,담는 통로 하나로 정리,"상세 화면의 비교 버튼과 새로 만든 고르기 시트가 서로 다른 규칙을 쓰지 않도록, 담는 처리를 한 곳으로 모음"
다픽웹,개발,예전 저장분 자동 옮기기,예전 방식으로 저장돼 있던 비교 목록이 사라지지 않고 새 형식으로 자동으로 옮겨지게 함
다픽웹,개발,저장값 손상 대비,저장된 값이 깨져 있어도 화면이 멈추지 않고 빈 비교함으로 시작하도록 방어 처리
다픽웹,개발,정수기 상세 비교 버튼,"정수기 상세 화면에 비교하기 버튼을 넣어, 지금 보고 있는 조건 그대로 비교함에 담기게 함"
다픽웹,개발,렌탈 상세 비교 버튼,렌탈 상세 화면에도 같은 방식의 비교하기 버튼을 붙임
다픽웹,개발,인터넷·TV 상세 비교 버튼,"인터넷·TV 상세 화면에 비교하기 버튼을 붙이고, 선택한 요금제 조합이 함께 담기게 연결"
다픽웹,개발,조건 바꾸면 버튼도 따라가기,약정이나 관리 방식을 바꾸면 비교 버튼의 켜짐 상태가 그 조건 기준으로 다시 판단되게 함
다픽웹,기획,화면 아래 3칸 방식 결정,비교하기를 누르면 화면 아래에 빈 칸 세 개가 나오고 그 안에서 비교하는 방식으로 정함
